Ingredient1,Ingredient2,Number of Shared Flavor Compounds
Agave,Barley,93
Agave,Oats,93
Agave,Rice,93
Agave,Corn,93
Agave,Lemon Grass,93
Agave,Kelp,93
Agave,Artichoke,93
Agave,Apple,93
Agave,Apricot,93
Agave,Avocado,93
Agave,Banana,93
Agave,Coconut,93
Agave,Black Currant,93
Agave,Red Currant,93
Agave,Dates,93
Agave,Durian,93
Agave,Fig,93
Agave,Grape,93
Agave,Guava,93
Agave,Jackfruit,93
Agave,Kiwifruit,93
Agave,Litchi,93
Agave,Mango,93
Agave,Melon,93
Agave,Orange,93
Agave,Papaya,93
Agave,Passionfruit,93
Agave,Peach,93
Agave,Pear,93
Agave,Pineapple,93
Agave,Plum,93
Agave,Pumpkin,93
Agave,Starfruit,93
Agave,Tamarind,93
Agave,Blueberry,93
Agave,Cherry,93
Agave,Cranberry,93
Agave,Raspberry,93
Agave,Strawberry,93
Agave,Grapefruit,93
Agave,Kumquat,93
Agave,Lemon,93
Agave,Lime,93
Agave,Mandarin Orange,93
Agave,Vanilla,93
Agave,Mushroom,93
Agave,Basil,93
Agave,Coriander,93
Agave,Dill,93
Agave,Fennel,93
Agave,Garlic,93
Agave,Rhubarb,93
Agave,Rosemary,93
Agave,Sage,93
Agave,Spearmint,93
Agave,Tarragon,93
Agave,Thyme,93
Agave,Almond,93
Agave,Brazil Nut,93
Agave,Peanut,93
Agave,Peas,93
Agave,Soybean,93
Agave,Hazelnut,93
Agave,Macadamia Nut,93
Agave,Pecans,93
Agave,Walnut,93
Agave,Sesame,93
Agave,Chicory,93
Agave,Olive,93
Agave,Pine,93
Agave,Tea,93
Agave,Watercress,93
Agave,Rye,93
Agave,Anise,93
Agave,Cardamom,93
Agave,Celery,93
Agave,Clove,93
Agave,Cumin,93
Agave,Ginger,93
Agave,Nutmeg,93
Agave,Oregano,93
Agave,Pepper,93
Agave,Saffron,93
Agave,Turmeric,93
Agave,Chive,93
Agave,Endive,93
Agave,Leek,93
Agave,Lettuce,93
Agave,Okra,93
Agave,Shallot,93
Agave,Peppermint,93
Agave,Broccoli,93
Agave,Brussels Sprout,93
Agave,Cabbage,93
Agave,Cauliflower,93
Agave,Horseradish,93
Agave,Mustard,93
Agave,Radish,93
Agave,Turnip,93
Agave,Wasabi,93
Agave,Capsicum,93
Agave,Tomato,93
Agave,Cucumber,93
Agave,Beetroot,93
Agave,Carrot,93
Agave,Parsnip,93
Agave,Sweet Potato,93
Agave,Asparagus,93
Agave,Potato,93
Agave,Allspice,93
Agave,Canola Oil,93
Agave,Carom Seed,93
Agave,Chard,93
Agave,Eggplant,93
Agave,Lotus,93
Agave,Pomegranate,93
Agave,Spinach,93
Agave,Redskin Onion,93
Agave,Cashew nut,93
Agave,Capers,93
Agave,Safflower,93
Agave,Chickpea,93
Agave,Pummelo,93
Agave,Swamp Cabbage,93
Agave,Lentils,93
Agave,Millet,93
Agave,Pistachio,93
Agave,Red Raspberry,93
Agave,Sorghum,93
Agave,Wheat,93
Agave,Longan,93
Agave,Rambutan,93
Agave,Welsh Onion,93
Agave,Hard Wheat,93
Agave,Pak Choy,93
Agave,Pasta,93
Agave,Biscuit,93
Agave,Abalone,93
Agave,Acorn,93
Agave,Agar,93
Agave,Atlantic Herring,93
Agave,Bamboo Shoots,93
Agave,Rapini,93
Agave,Butternut Squash,93
Agave,Cardoon,93
Agave,Chia,93
Agave,Corn Salad,93
Agave,Catjang Pea,93
Agave,Squashberry,93
Agave,Ginkgo Nuts,93
Agave,Groundcherry,93
Agave,Jerusalem Artichoke,93
Agave,Kale,93
Agave,Pili Nut,93
Agave,French Plantain,93
Agave,Prairie Turnip,93
Agave,Quinoa,93
Agave,Spelt,93
Agave,Spirulina,93
Agave,Taro,93
Agave,Wild Rice,93
Agave,Shiitake,93
Agave,Purple Laver,93
Agave,Enokitake,93
Agave,Oyster Mushroom,93
Agave,Cloud Ear Fungus,93
Agave,Maitake,93
Agave,Chanterelle,93
Agave,Mixed Nuts,93
Agave,Green zucchini,93
Agave,Yellow Zucchini,93
Agave,Cucurbita,93
Agave,Chamomile,92
Agave,Lovage,92
Agave,Blackberry,92
Agave,Cornmint,92
Agave,Lemon Balm,92
Agave,Mint,92
Agave,Cocoa,92
Agave,Star Anise,92
Agave,Cinnamon,92
Agave,Onion,92
Agave,Chestnut,92
Agave,Mexican Oregano,92
Agave,Mulberry,92
Agave,Black Raspberry,92
Agave,Sorrel,92
Agave,Winter Savory,92
Agave,Cherry Tomato,92
Agave,Ginseng,92
Agave,Red Rice,92
Agave,Pineappple Sage,92
Agave,Sourdough,92
Agave,Red Algae,92
Agave,Kombu,92
Agave,Greenthread Tea,92
Agave,Beer,36
Agave,Coffee,28
Agave,Wine,27
Agave,White Wine,21
Agave,Gruyere Cheese,21
Agave,Sherry,20
Agave,Butter,20
Agave,Cheese,20
Agave,Cheddar Cheese,20
Agave,Swiss Cheese,20
Agave,Milk,19
Agave,Red Wine,18
Agave,Blue Cheese,18
Agave,Camembert Cheese,18
Agave,Comte Cheese,18
Agave,Parmesan Cheese,18
Agave,Provolone Cheese,18
Agave,Rum,17
Agave,Cottage Cheese,17
Agave,Cream Cheese,17
Agave,Domiati Cheese,17
Agave,Emmental Cheese,17
Agave,Feta Cheese,17
Agave,Goat Cheese,17
Agave,Limburger Cheese,17
Agave,Mozzarella Cheese,17
Agave,Munster Cheese,17
Agave,Romano Cheese,17
Agave,Roquefort Cheese,17
Agave,Russian Cheese,17
Agave,Sheep Cheese,17
Agave,Champagne,16
Agave,Rose Wine,16
Agave,Vinegar,15
Agave,Egg,13
Agave,Malt,12
Agave,Clary Sage,12
Agave,Chicken,12
Agave,Honey,12
Agave,Whisky,11
Agave,Shrimp,11
Agave,Pork,11
Agave,Filbert,10
Agave,Citronella,9
Agave,Clam,9
Agave,Crab,9
Agave,Scallop,9
Agave,Beef,9
Agave,Ricotta Cheese,9
Agave,Cider,8
