id,recipeName,totalTimeInSeconds,course,cuisine,ingredients,link
1,Disappearing Buffalo Chicken Dip,2100,Appetizers,American,"Mayonnaise,Lemon,Chili,Blue Cheese,Chive,Cheddar Cheese,Chicken",https://www.google.com/search?q=Disappearing+Buffalo+Chicken+Dip+site:yummly.com
2,Peanut Butter Fudge,600,Desserts,American,"Butter,Peanut Butter,Salt,Vanilla,Sugar",https://www.google.com/search?q=Peanut+Butter+Fudge+site:yummly.com
3,Best Homemade Brownie,5100,Desserts,American,"Butter,Chocolate,Sugar,Vanilla,Egg,Salt,Flour",https://www.google.com/search?q=Best+Homemade+Brownie+site:yummly.com
4,Brown Sugar Meatloaf,1800,Main Dishes,American,"Sugar,Ketchup,Meat,Egg,Milk,Onion,Bread",https://www.google.com/search?q=Brown+Sugar+Meatloaf+site:yummly.com
5,Roasted Corn with Cilantro Butter,2700,Side Dishes,American,"Corn,Butter,Coriander,Chili,Cumin,Salt",https://www.google.com/search?q=Roasted+Corn+with+Cilantro+Butter+site:yummly.com
6,Homemade Tartar Sauce,1200,Condiments and Sauces,American,"Mayonnaise,Pickles,Onion,Lemon,Salt",https://www.google.com/search?q=Homemade+Tartar+Sauce+site:yummly.com
7,Roasted Garlic Mashed Potatoes,4800,Side Dishes,American,"Garlic,Cooking Oil,Potato,Butter,Milk,Salt,Chive",https://www.google.com/search?q=Roasted+Garlic+Mashed+Potatoes+site:yummly.com
8,Sweet Potato Homefries,1800,Side Dishes,American,"Sweet Potato,Onion,Salt,Pepper,Paprika,Cooking Oil",https://www.google.com/search?q=Sweet+Potato+Homefries+site:yummly.com
9,Marinated Roasted Red Pepper Grilled Cheese Sandwich,1500,Lunch and Snacks,American,"Bread,Cooking Oil,Sweet Pepper,Mozzarella Cheese,Basil",https://www.google.com/search?q=Marinated+Roasted+Red+Pepper+Grilled+Cheese+Sandwich+site:yummly.com
10,Asparagus Gratin,1800,Side Dishes,American,"Water,Asparagus,Butter,Flour,Cheese,Pepper,Salt",https://www.google.com/search?q=Asparagus+Gratin+site:yummly.com
11,Whipped Frosting,1500,Desserts,American,"Egg,Sugar,Salt,Water,Vanilla",https://www.google.com/search?q=Whipped+Frosting+site:yummly.com
12,Sour Cream Mashed Potatoes,2400,Side Dishes,American,"Potato,Salt,Pepper,Cream,Milk,Butter,Scallion",https://www.google.com/search?q=Sour+Cream+Mashed+Potatoes+site:yummly.com
13,Best Ever Pasta Salad,2100,Salads,American,"Pasta,Cucumber,Tomato,Mayonnaise,Cream,Dill,Pepper",https://www.google.com/search?q=Best+Ever+Pasta+Salad+site:yummly.com
14,Dill Sauce,300,Condiments and Sauces,American,"Cream,Mustard,Lemon,Dill",https://www.google.com/search?q=Dill+Sauce+site:yummly.com
15,Caramelized Onion Chicken Soup,3300,Soups,American,"Onion,Garlic,Chicken,Chicken Stock,Salt",https://www.google.com/search?q=Caramelized+Onion+Chicken+Soup+site:yummly.com
16,Grilled Cheese Sandwich,1200,Lunch and Snacks,American,"Bread,Butter,Cheddar Cheese",https://www.google.com/search?q=Grilled+Cheese+Sandwich+site:yummly.com
17,Grapefruit Sorbet,28800,Desserts,American,"Grapefruit,Sugar",https://www.google.com/search?q=Grapefruit+Sorbet+site:yummly.com
18,Strawberry Mango Basil Salsa,3000,Condiments and Sauces,American,"Mango,Strawberry,Onion,Basil,Lemon,Salt,Pepper",https://www.google.com/search?q=Strawberry+Mango+Basil+Salsa+site:yummly.com
19,Mint Lemonade,1800,Beverages,American,"Sugar,Water,Lemon,Mint,Lemon",https://www.google.com/search?q=Mint+Lemonade+site:yummly.com
20,Lobster Roll,900,Lunch and Snacks,American,"Lobster,Mayonnaise,Salt,Pepper,Lemon,Lemon,Meat",https://www.google.com/search?q=Lobster+Roll+site:yummly.com
21,Roasted Onions,2400,Side Dishes,American,"Onion,Cooking Oil,Salt,Pepper,Vinegar",https://www.google.com/search?q=Roasted+Onions+site:yummly.com
22,Lemon Glaze,1200,Condiments and Sauces,American,"Sugar,Lemon",https://www.google.com/search?q=Lemon+Glaze+site:yummly.com
23,Horseradish Sauce,300,Condiments and Sauces,American,"Cream,Horseradish,Dill,Salt",https://www.google.com/search?q=Horseradish+Sauce+site:yummly.com
24,Cinnamon Cookies,3000,Desserts,American,"Egg,Butter,Flour,Sugar,Cinnamon",https://www.google.com/search?q=Cinnamon+Cookies+site:yummly.com
25,Roasted Fennel,2100,Side Dishes,American,"Fennel,Cooking Oil,Salt,Pepper",https://www.google.com/search?q=Roasted+Fennel+site:yummly.com
26,Baked French Toast,3900,Breakfast and Brunch,American,"Egg,Cream,Vanilla,Cinnamon,Bread,Butter",https://www.google.com/search?q=Baked+French+Toast+site:yummly.com
27,Roast Chicken,5700,Main Dishes,American,"Chicken,Salt,Lemon,Pepper,Rosemary,Cooking Oil,Butter",https://www.google.com/search?q=Roast+Chicken+site:yummly.com
28,Mashed Potato Casserole,3900,Side Dishes,American,"Potato,Salt,Butter,Cream,Cheddar Cheese,Chive,Onion,Bacon",https://www.google.com/search?q=Mashed+Potato+Casserole+site:yummly.com
29,Dynamite Sauce,300,Condiments and Sauces,American,"Mayonnaise,Sugar,Chili,Garlic",https://www.google.com/search?q=Dynamite+Sauce+site:yummly.com
30,Chocolate Pudding Cake,3300,Desserts,American,"Butter,Sugar,Egg,Chocolate,Salt,Sugar",https://www.google.com/search?q=Chocolate+Pudding+Cake+site:yummly.com
31,Honey Limeade,900,Beverages,American,"Lime,Water,Sugar,Honey",https://www.google.com/search?q=Honey+Limeade+site:yummly.com
32,Southern Mashed Potatoes,2100,Side Dishes,American,"Potato,Milk,Salt,Pepper,Mayonnaise,Butter",https://www.google.com/search?q=Southern+Mashed+Potatoes+site:yummly.com
33,Roasted Spiced Sweet Potatoes,2700,Side Dishes,American,"Coriander,Fennel,Oregano,Chili,Salt,Sweet Potato,Cooking Oil",https://www.google.com/search?q=Roasted+Spiced+Sweet+Potatoes+site:yummly.com
34,Peach Lemonade,4800,Beverages,American,"Water,peaches,Sugar,Lemon,Ice",https://www.google.com/search?q=Peach+Lemonade+site:yummly.com
35,Corn And Black Bean Salsa,3600,Appetizers,American,"Corn,Beans,Onion,Garlic,Chili,Sweet Pepper,Coriander,Cumin,Cooking Oil,Lime,Salt,Chili,Bacon",https://www.google.com/search?q=Corn+And+Black+Bean+Salsa+site:yummly.com
36,Southern Cornbread,2100,Breads,Southern & Soul Food,"Flour,Flour,Baking Soda,Salt,Sugar,Yogurt,Egg,Butter,Bacon",https://www.google.com/search?q=Southern+Cornbread+site:yummly.com
37,Pineapple Sorbet,4800,Desserts,American,"Pineapple,Sugar,Water",https://www.google.com/search?q=Pineapple+Sorbet+site:yummly.com
38,Roasted Red Potatoes,2100,Side Dishes,American,"Potato,Cooking Oil,Rosemary,Pepper,Salt",https://www.google.com/search?q=Roasted+Red+Potatoes+site:yummly.com
39,Baked Artichoke Dip,3900,Appetizers,American,"Water,Tofu,Garlic,Parmesan Cheese,Yogurt,Salt,Pepper",https://www.google.com/search?q=Baked+Artichoke+Dip+site:yummly.com
40,Spinach Salad with Warm Bacon Dressing,3000,Salads,American,"Egg,Bacon,Onion,Mushroom,Spinach,Bacon,Vinegar,Sugar,Mustard,Salt",https://www.google.com/search?q=Spinach+Salad+with+Warm+Bacon+Dressing+site:yummly.com
41,Parmesan and Herb Cheese Straws,2400,Appetizers,American,"Egg,Chili,Sourdough,Parmesan Cheese,Chive,Thyme,Pepper,Salt",https://www.google.com/search?q=Parmesan+and+Herb+Cheese+Straws+site:yummly.com
42,Key Lime Curd,3000,Desserts,American,"Lime,Sugar,Egg,Butter",https://www.google.com/search?q=Key+Lime+Curd+site:yummly.com
43,Honey Vinaigrette,900,Salads,American,"Vinegar,Mustard,Onion,Honey,Salt,Pepper,Cooking Oil",https://www.google.com/search?q=Honey+Vinaigrette+site:yummly.com
44,Lemon Vinaigrette,300,Salads,American,"Lemon,Vinegar,Sugar,Salt,Pepper,Cooking Oil",https://www.google.com/search?q=Lemon+Vinaigrette+site:yummly.com
45,Roast Beef Tenderloin,2700,Main Dishes,American,"Thyme,Garlic,Salt,Pepper,Beef,Cooking Oil",https://www.google.com/search?q=Roast+Beef+Tenderloin+site:yummly.com
